raceId,constructorId,points,position,positionText,wins
898,4,447,1,1,8
898,5,274,2,2,6
898,131,181,3,3,4
898,1,158,4,4,2
898,211,65,5,5,0
898,214,42,6,6,0
899,4,447,1,1,8
899,5,274,2,2,6
899,131,181,3,3,4
899,1,158,4,4,2
899,211,65,5,5,0
899,214,42,6,6,0
900,4,447,1,1,8
900,5,274,2,2,6
900,131,181,3,3,4
900,1,158,4,4,2
900,211,65,5,5,0
900,214,42,6,6,0
901,4,447,1,1,8
901,5,274,2,2,6
901,131,181,3,3,4
901,1,158,4,4,2
901,211,65,5,5,0
901,214,42,6,6,0
902,4,447,1,1,8
902,5,274,2,2,6
902,131,181,3,3,4
902,1,158,4,4,2
902,211,65,5,5,0
902,214,42,6,6,0
903,4,447,1,1,8
903,5,274,2,2,6
903,131,181,3,3,4
903,1,158,4,4,2
903,211,65,5,5,0
903,214,42,6,6,0
904,4,447,1,1,8
904,5,274,2,2,6
904,131,181,3,3,4
904,1,158,4,4,2
904,211,65,5,5,0
904,214,42,6,6,0
905,4,447,1,1,8
905,5,274,2,2,6
905,131,181,3,3,4
905,1,158,4,4,2
905,211,65,5,5,0
905,214,42,6,6,0
906,4,447,1,1,8
906,5,274,2,2,6
906,131,181,3,3,4
906,1,158,4,4,2
906,211,65,5,5,0
906,214,42,6,6,0
907,4,447,1,1,8
907,5,274,2,2,6
907,131,181,3,3,4
907,1,158,4,4,2
907,211,65,5,5,0
907,214,42,6,6,0
908,4,447,1,1,8
908,5,274,2,2,6
908,131,181,3,3,4
908,1,158,4,4,2
908,211,65,5,5,0
908,214,42,6,6,0
909,4,447,1,1,8
909,5,274,2,2,6
909,131,181,3,3,4
909,1,158,4,4,2
909,211,65,5,5,0
909,214,42,6,6,0
910,4,447,1,1,8
910,5,274,2,2,6
910,131,181,3,3,4
910,1,158,4,4,2
910,211,65,5,5,0
910,214,42,6,6,0
911,4,447,1,1,8
911,5,274,2,2,6
911,131,181,3,3,4
911,1,158,4,4,2
911,211,65,5,5,0
911,214,42,6,6,0
912,4,447,1,1,8
912,5,274,2,2,6
912,131,181,3,3,4
912,1,158,4,4,2
912,211,65,5,5,0
912,214,42,6,6,0
913,4,447,1,1,8
913,5,274,2,2,6
913,131,181,3,3,4
913,1,158,4,4,2
913,211,65,5,5,0
913,214,42,6,6,0
914,4,447,1,1,8
914,5,274,2,2,6
914,131,181,3,3,4
914,1,158,4,4,2
914,211,65,5,5,0
914,214,42,6,6,0
915,4,447,1,1,8
915,5,274,2,2,6
915,131,181,3,3,4
915,1,158,4,4,2
915,211,65,5,5,0
915,214,42,6,6,0
916,4,447,1,1,8
916,5,274,2,2,6
916,131,181,3,3,4
916,1,158,4,4,2
916,211,65,5,5,0
916,214,42,6,6,0
917,4,447,1,1,8
917,5,274,2,2,6
917,131,181,3,3,4
917,1,158,4,4,2
917,211,65,5,5,0
917,214,42,6,6,0
918,4,447,1,1,8
918,5,274,2,2,6
918,131,181,3,3,4
918,1,158,4,4,2
918,211,65,5,5,0
918,214,42,6,6,0
919,4,447,1,1,8
919,5,274,2,2,6
919,131,181,3,3,4
919,1,158,4,4,2
919,211,65,5,5,0
919,214,42,6,6,0
920,4,447,1,1,8
920,5,274,2,2,6
920,131,181,3,3,4
920,1,158,4,4,2
920,211,65,5,5,0
920,214,42,6,6,0
921,4,447,1,1,8
921,5,274,2,2,6
921,131,181,3,3,4
921,1,158,4,4,2
921,211,65,5,5,0
921,214,42,6,6,0
922,4,447,1,1,8
922,5,274,2,2,6
922,131,181,3,3,4
922,1,158,4,4,2
922,211,65,5,5,0
922,214,42,6,6,0
923,4,447,1,1,8
923,5,274,2,2,6
923,131,181,3,3,4
923,1,158,4,4,2
923,211,65,5,5,0
923,214,42,6,6,0
924,4,447,1,1,8
924,5,274,2,2,6
924,131,181,3,3,4
924,1,158,4,4,2
924,211,65,5,5,0
924,214,42,6,6,0
925,4,447,1,1,8
925,5,274,2,2,6
925,131,181,3,3,4
925,1,158,4,4,2
925,211,65,5,5,0
925,214,42,6,6,0
926,4,447,1,1,8
926,5,274,2,2,6
926,131,181,3,3,4
926,1,158,4,4,2
926,211,65,5,5,0
926,214,42,6,6,0
927,4,447,1,1,8
927,5,274,2,2,6
927,131,181,3,3,4
927,1,158,4,4,2
927,211,65,5,5,0
927,214,42,6,6,0
928,4,447,1,1,8
928,5,274,2,2,6
928,131,181,3,3,4
928,1,158,4,4,2
928,211,65,5,5,0
928,214,42,6,6,0
929,4,447,1,1,8
929,5,274,2,2,6
929,131,181,3,3,4
929,1,158,4,4,2
929,211,65,5,5,0
929,214,42,6,6,0
930,4,447,1,1,8
930,5,274,2,2,6
930,131,181,3,3,4
930,1,158,4,4,2
930,211,65,5,5,0
930,214,42,6,6,0
931,4,447,1,1,8
931,5,274,2,2,6
931,131,181,3,3,4
931,1,158,4,4,2
931,211,65,5,5,0
931,214,42,6,6,0
932,4,447,1,1,8
932,5,274,2,2,6
932,131,181,3,3,4
932,1,158,4,4,2
932,211,65,5,5,0
932,214,42,6,6,0
933,4,447,1,1,8
933,5,274,2,2,6
933,131,181,3,3,4
933,1,158,4,4,2
933,211,65,5,5,0
933,214,42,6,6,0
934,4,447,1,1,8
934,5,274,2,2,6
934,131,181,3,3,4
934,1,158,4,4,2
934,211,65,5,5,0
934,214,42,6,6,0
935,4,447,1,1,8
935,5,274,2,2,6
935,131,181,3,3,4
935,1,158,4,4,2
935,211,65,5,5,0
935,214,42,6,6,0
936,4,447,1,1,8
936,5,274,2,2,6
936,131,181,3,3,4
936,1,158,4,4,2
936,211,65,5,5,0
936,214,42,6,6,0
937,4,447,1,1,8
937,5,274,2,2,6
937,131,181,3,3,4
937,1,158,4,4,2
937,211,65,5,5,0
937,214,42,6,6,0
938,4,447,1,1,8
938,5,274,2,2,6
938,131,181,3,3,4
938,1,158,4,4,2
938,211,65,5,5,0
938,214,42,6,6,0
939,4,447,1,1,8
939,5,274,2,2,6
939,131,181,3,3,4
939,1,158,4,4,2
