resultId,raceId,driverId,constructorId,number,grid,position,points,laps,milliseconds,rank,fastestLapSpeed,year,round,circuitId,race_name,code,nationality,driver_name,team,team_nationality,circuit_name,country,lat,lng,status,positions_gained,top3,finished,num_stops,total_pit_time,fastest_pit,driver_age,pit_lane_start,pit_time_outlier,team_rank
19232,800,657,113,14,19,1.0,8.0,200,13757270,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,18.0,1,1,0,0.0,0.0,,0,0,
19233,800,525,114,9,3,2.0,6.0,200,13827220,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,1.0,1,1,0,0.0,0.0,,0,0,
19234,800,658,113,2,1,3.0,5.0,200,13837000,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,-2.0,1,1,0,0.0,0.0,,0,0,
19235,800,526,113,34,11,4.0,1.5,200,13929950,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,7.0,0,1,0,0.0,0.0,,0,0,
19236,800,673,113,73,14,5.0,2.0,200,13961820,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,9.0,0,1,0,0.0,0.0,,0,0,
19237,800,615,113,77,24,6.0,0.0,200,13984820,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,18.0,0,1,0,0.0,0.0,,0,0,
19238,800,528,109,7,6,7.0,0.0,200,14010620,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,-1.0,0,1,0,0.0,0.0,,0,0,
19239,800,555,113,5,32,8.0,0.0,200,14058440,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,24.0,0,1,0,0.0,0.0,,0,0,
19240,800,674,113,28,25,9.0,0.0,200,14184510,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,16.0,0,1,0,0.0,0.0,,0,0,
19241,800,655,129,24,13,10.0,0.0,200,14184960,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,3.0,0,1,0,0.0,0.0,,0,0,
19242,800,656,113,45,27,11.0,0.0,200,14259460,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Finished,16.0,0,1,0,0.0,0.0,,0,0,
19243,800,521,114,98,5,12.0,0.0,199,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,+1 Lap,-7.0,0,0,0,0.0,0.0,,0,0,
19244,800,675,114,88,22,13.0,0.0,197,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,9.0,0,0,0,0.0,0.0,,0,0,
19245,800,628,113,17,9,14.0,0.0,197,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,-5.0,0,0,0,0.0,0.0,,0,0,
19246,800,518,113,16,8,15.0,0.0,196,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,-7.0,0,0,0,0.0,0.0,,0,0,
19247,800,679,113,32,20,16.0,0.0,194,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,4.0,0,0,0,0.0,0.0,,0,0,
19248,800,592,136,25,7,17.0,0.0,194,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,-10.0,0,0,0,0.0,0.0,,0,0,
19249,800,596,129,27,31,18.0,0.0,193,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,13.0,0,0,0,0.0,0.0,,0,0,
19250,800,676,113,71,33,19.0,0.0,193,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,14.0,0,0,0,0.0,0.0,,0,0,
19251,800,611,113,1,10,,0.0,191,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Brakes,,0,0,0,0.0,0.0,,0,0,
19252,800,597,113,35,12,,0.0,181,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Brakes,,0,0,0,0.0,0.0,,0,0,
19253,800,449,135,12,16,,0.0,172,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Retired,,0,0,0,0.0,0.0,,0,0,
19254,800,520,113,31,17,23.0,0.0,168,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Clutch,-6.0,0,0,0,0.0,0.0,,0,0,
19255,800,512,138,43,4,,0.0,165,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Retired,,0,0,0,0.0,0.0,,0,0,
19256,800,612,134,74,23,,0.0,165,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,,0,0,0,0.0,0.0,,0,0,
19257,800,659,113,99,30,,0.0,130,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Engine,,0,0,0,0.0,0.0,,0,0,
19258,800,556,113,19,2,,0.0,111,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Accident,,0,0,0,0.0,0.0,,0,0,
19259,800,509,113,38,28,,0.0,110,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Accident,,0,0,0,0.0,0.0,,0,0,
19260,800,529,113,10,21,,0.0,105,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,,0,0,0,0.0,0.0,,0,0,
19261,800,677,139,65,29,,0.0,104,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,,0,0,0,0.0,0.0,,0,0,
19262,800,678,134,33,26,,0.0,101,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,,,0,0,0,0.0,0.0,,0,0,
19263,800,593,113,15,15,,0.0,79,\N,\N,\N,2010.0,1.0,3.0,Bahrain Grand Prix,,,,,,Bahrain International Circuit,Bahrain,26.0325,50.5106,Engine,,0,0,0,0.0,0.0,,0,0,
